Date,Country,State,Activity,Sex,Age,Deceased,standarized_country,Month,Year,Decade,Season
2015-01-01,usa,FLORIDA,Unspecific,M,12.0,N,United States,January,2015.0,2010.0,Winter
2014-12-01,australia,NEW SOUTH WALES,surfing,UNKNOWN,,N,Australia,December,2014.0,2010.0,Summer
2014-12-01,australia,WESTERN AUSTRALIA,fishing,M,17.0,Y,Australia,December,2014.0,2010.0,Summer
2014-12-01,greece,,Unspecific,UNKNOWN,,N,Greece,December,2014.0,2010.0,Winter
2014-12-01,south africa,KWAZULU-NATAL,swimming,UNKNOWN,,UNKNOWN,South Africa,December,2014.0,2010.0,Summer
2014-12-01,usa,CALIFORNIA,surfing,M,50.0,N,United States,December,2014.0,2010.0,Winter
2014-12-01,australia,VICTORIA,fishing,M,,N,Australia,December,2014.0,2010.0,Summer
2014-12-01,japan,,diving,M,,N,Japan,December,2014.0,2010.0,Unknown
2014-12-01,australia,QUEENSLAND,fishing,M,17.0,Y,Australia,December,2014.0,2010.0,Summer
2014-12-01,spain,GRANADA,fishing,M,,N,Spain,December,2014.0,2010.0,Winter
2014-11-01,australia,WESTERN AUSTRALIA,surfing,M,13.0,N,Australia,November,2014.0,2010.0,Spring
2014-11-01,mauritius,CARGADOS CARAJOS SHOALS (ST. BRANDON),fishing,M,39.0,Y,Mauritius,November,2014.0,2010.0,Spring
2014-11-01,australia,WESTERN AUSTRALIA,fishing,M,,N,Australia,November,2014.0,2010.0,Spring
2014-11-01,usa,CALIFORNIA,Unspecific,UNKNOWN,,N,United States,November,2014.0,2010.0,Autumn
2014-11-01,usa,FLORIDA,surfing,M,44.0,N,United States,November,2014.0,2010.0,Autumn
2014-11-01,usa,HAWAII,diving,M,53.0,N,United States,November,2014.0,2010.0,Autumn
2014-11-01,australia,NEW SOUTH WALES,surfing,M,,N,Australia,November,2014.0,2010.0,Spring
2014-11-01,usa,FLORIDA,surfing,M,18.0,N,United States,November,2014.0,2010.0,Autumn
2014-10-01,usa,HAWAII,surfing,F,34.0,N,United States,October,2014.0,2010.0,Autumn
2014-10-01,australia,NEW SOUTH WALES,surfing,M,20.0,N,Australia,October,2014.0,2010.0,Spring
2014-10-01,usa,HAWAII,kayaking,F,,N,United States,October,2014.0,2010.0,Autumn
2014-10-01,usa,HAWAII,kayaking,M,,N,United States,October,2014.0,2010.0,Autumn
2014-10-01,usa,CALIFORNIA,kayaking,F,,N,United States,October,2014.0,2010.0,Autumn
2014-10-01,australia,NEW SOUTH WALES,surfing,F,13.0,N,Australia,October,2014.0,2010.0,Spring
2014-10-01,usa,SOUTH CAROLINA,Unspecific,F,7.0,N,United States,October,2014.0,2010.0,Autumn
2014-10-01,usa,FLORIDA,surfing,F,,N,United States,October,2014.0,2010.0,Autumn
2014-10-01,australia,WESTERN AUSTRALIA,kayaking,M,,N,Australia,October,2014.0,2010.0,Spring
2014-10-01,usa,FLORIDA,surfing,M,29.0,N,United States,October,2014.0,2010.0,Autumn
2014-10-01,usa,FLORIDA,fishing,F,40.0,N,United States,October,2014.0,2010.0,Autumn
2014-10-01,usa,FLORIDA,surfing,M,15.0,N,United States,October,2014.0,2010.0,Autumn
2014-10-01,usa,CALIFORNIA,kayaking,M,,N,United States,October,2014.0,2010.0,Autumn
2014-10-01,usa,CALIFORNIA,surfing,M,28.0,N,United States,October,2014.0,2010.0,Autumn
2014-10-01,australia,WESTERN AUSTRALIA,surfing,M,23.0,N,Australia,October,2014.0,2010.0,Spring
2014-09-01,usa,FLORIDA,surfing,M,,N,United States,September,2014.0,2010.0,Autumn
2014-09-01,french polynesia,MOOREA,fishing,F,36.0,N,French Polynesia,September,2014.0,2010.0,Unknown
2014-09-01,usa,CALIFORNIA,surfing,M,,UNKNOWN,United States,September,2014.0,2010.0,Autumn
2014-09-01,australia,NEW SOUTH WALES,swimming,M,50.0,Y,Australia,September,2014.0,2010.0,Spring
2014-09-01,usa,ALABAMA,fishing,M,43.0,N,United States,September,2014.0,2010.0,Autumn
2014-09-01,usa,MASSACHUSETTS,kayaking,F,,N,United States,September,2014.0,2010.0,Autumn
2014-09-01,usa,FLORIDA,fishing,M,52.0,N,United States,September,2014.0,2010.0,Autumn
2014-09-01,spain,CATALONIA,Unspecific,M,16.0,N,Spain,September,2014.0,2010.0,Autumn
2014-08-01,usa,FLORIDA,surfing,F,13.0,N,United States,August,2014.0,2010.0,Summer
2014-08-01,usa,FLORIDA,surfing,M,17.0,N,United States,August,2014.0,2010.0,Summer
2014-08-01,usa,FLORIDA,Unspecific,UNKNOWN,,UNKNOWN,United States,August,2014.0,2010.0,Summer
2014-08-01,usa,MARYLAND,fishing,M,33.0,N,United States,August,2014.0,2010.0,Summer
2014-08-01,spain,ALICANTE,swimming,F,,N,Spain,August,2014.0,2010.0,Summer
2014-08-01,usa,NORTH CAROLINA,surfing,M,29.0,N,United States,August,2014.0,2010.0,Summer
2014-08-01,usa,SOUTH CAROLINA,Unspecific,F,,N,United States,August,2014.0,2010.0,Summer
2014-08-01,usa,FLORIDA,fishing,M,,N,United States,August,2014.0,2010.0,Summer
2014-08-01,usa,NORTH CAROLINA,boarding,UNKNOWN,,N,United States,August,2014.0,2010.0,Summer
2014-08-01,australia,WESTERN AUSTRALIA,fishing,M,31.0,N,Australia,August,2014.0,2010.0,Winter
2014-08-01,usa,FLORIDA,Unspecific,M,,N,United States,August,2014.0,2010.0,Summer
2014-08-01,usa,FLORIDA,Unspecific,M,26.0,N,United States,August,2014.0,2010.0,Summer
2014-08-01,bahamas,,fishing,M,,N,Bahamas,August,2014.0,2010.0,Summer
2014-08-01,usa,FLORIDA,swimming,F,10.0,N,United States,August,2014.0,2010.0,Summer
2014-08-01,usa,LOUISIANA,swimming,M,7.0,N,United States,August,2014.0,2010.0,Summer
2014-08-01,usa,SOUTH CAROLINA,boarding,M,10.0,N,United States,August,2014.0,2010.0,Summer
2014-08-01,usa,FLORIDA,swimming,F,45.0,N,United States,August,2014.0,2010.0,Summer
2014-08-01,usa,FLORIDA,surfing,M,,N,United States,August,2014.0,2010.0,Summer
2014-08-01,usa,FLORIDA,boarding,M,8.0,N,United States,August,2014.0,2010.0,Summer
2014-08-01,south africa,WESTERN CAPE PROVINCE,surfing,M,20.0,N,South Africa,August,2014.0,2010.0,Winter
2014-07-01,usa,NORTH CAROLINA,swimming,M,,N,United States,July,2014.0,2010.0,Summer
2014-07-01,reunion,SAINT-LEU,surfing,M,51.0,N,Reunion,July,2014.0,2010.0,Unknown
2014-07-01,usa,FLORIDA,Unspecific,M,8.0,N,United States,July,2014.0,2010.0,Summer
2014-07-01,spain,CANARY ISLANDS,wading,UNKNOWN,,N,Spain,July,2014.0,2010.0,Summer
2014-07-01,usa,HAWAII,swimming,M,61.0,N,United States,July,2014.0,2010.0,Summer
2014-07-01,usa,FLORIDA,swimming,M,39.0,N,United States,July,2014.0,2010.0,Summer
2014-07-01,bahamas,WEST END,diving,M,63.0,UNKNOWN,Bahamas,July,2014.0,2010.0,Summer
2014-07-01,usa,NORTH CAROLINA,surfing,M,,N,United States,July,2014.0,2010.0,Summer
2014-07-01,usa,FLORIDA,surfing,M,14.0,N,United States,July,2014.0,2010.0,Summer
2014-07-01,usa,CALIFORNIA,swimming,M,,N,United States,July,2014.0,2010.0,Summer
2014-07-01,usa,CALIFORNIA,surfing,M,,N,United States,July,2014.0,2010.0,Summer
2014-07-01,usa,SOUTH CAROLINA,surfing,M,19.0,N,United States,July,2014.0,2010.0,Summer
2014-06-01,st. martin,,Unspecific,M,48.0,N,Saint Martin,June,2014.0,2010.0,Summer
2014-06-01,bahamas,ABACO ISLANDS,fishing,M,42.0,N,Bahamas,June,2014.0,2010.0,Summer
2014-06-01,australia,SOUTH AUSTRALIA,surfing,M,,N,Australia,June,2014.0,2010.0,Winter
2014-06-01,australia,SOUTH AUSTRALIA,boarding,M,15.0,N,Australia,June,2014.0,2010.0,Winter
2014-06-01,australia,WESTERN AUSTRALIA,Unspecific,M,,N,Australia,June,2014.0,2010.0,Winter
2014-06-01,brazil,,fishing,M,43.0,N,Brazil,June,2014.0,2010.0,Winter
2014-06-01,usa,DELAWARE,Unspecific,M,16.0,N,United States,June,2014.0,2010.0,Summer
2014-06-01,australia,SOUTH AUSTRALIA,boarding,M,39.0,N,Australia,June,2014.0,2010.0,Winter
2014-06-01,japan,ATSUMI PENINSULA,surfing,M,43.0,N,Japan,June,2014.0,2010.0,Unknown
2014-06-01,usa,TEXAS,Unspecific,F,14.0,N,United States,June,2014.0,2010.0,Summer
2014-06-01,usa,FLORIDA,swimming,F,22.0,N,United States,June,2014.0,2010.0,Summer
2014-06-01,australia,NEW SOUTH WALES,surfing,M,,N,Australia,June,2014.0,2010.0,Winter
2014-06-01,usa,PALMYRA ATOLL,Unspecific,F,37.0,N,United States,June,2014.0,2010.0,Summer
2014-05-01,australia,QUEENSLAND,Unspecific,F,29.0,N,Australia,May,2014.0,2010.0,Autumn
2014-05-01,france,WALLIS AND FUTUNA,diving,M,,N,France,May,2014.0,2010.0,Spring
2014-05-01,australia,NEW SOUTH WALES,Unspecific,M,10.0,N,Australia,May,2014.0,2010.0,Autumn
2014-05-01,usa,FLORIDA,boarding,F,38.0,N,United States,May,2014.0,2010.0,Spring
2014-05-01,australia,SOUTH AUSTRALIA,surfing,M,35.0,N,Australia,May,2014.0,2010.0,Autumn
,usa,FLORIDA,wading,F,44.0,N,United States,,,,Unknown
2014-05-01,usa,GEORGIA,surfing,M,12.0,N,United States,May,2014.0,2010.0,Spring
2014-05-01,usa,FLORIDA,diving,M,,UNKNOWN,United States,May,2014.0,2010.0,Spring
2014-05-01,usa,SOUTH CAROLINA,swimming,F,40.0,N,United States,May,2014.0,2010.0,Spring
2014-05-01,south africa,WESTERN CAPE PROVINCE,diving,UNKNOWN,,N,South Africa,May,2014.0,2010.0,Autumn
2014-05-01,usa,FLORIDA,surfing,M,23.0,N,United States,May,2014.0,2010.0,Spring
2014-04-01,australia,WESTERN AUSTRALIA,fishing,M,,N,Australia,April,2014.0,2010.0,Autumn
2014-04-01,usa,FLORIDA,swimming,M,42.0,N,United States,April,2014.0,2010.0,Spring
2014-04-01,usa,FLORIDA,wading,M,25.0,N,United States,April,2014.0,2010.0,Spring
2014-04-01,south africa,,Unspecific,UNKNOWN,,N,South Africa,April,2014.0,2010.0,Autumn
2014-04-01,south africa,EASTERN CAPE PROVINCE,fishing,M,,N,South Africa,April,2014.0,2010.0,Autumn
2014-04-01,usa,FLORIDA,surfing,M,,N,United States,April,2014.0,2010.0,Spring
2014-04-01,australia,NEW SOUTH WALES,swimming,F,63.0,Y,Australia,April,2014.0,2010.0,Autumn
2014-03-01,australia,WESTERN AUSTRALIA,diving,M,38.0,UNKNOWN,Australia,March,2014.0,2010.0,Autumn
2014-03-01,south africa,EASTERN CAPE PROVINCE,swimming,M,66.0,Y,South Africa,March,2014.0,2010.0,Autumn
2014-03-01,usa,FLORIDA,surfing,M,,N,United States,March,2014.0,2010.0,Spring
2014-03-01,usa,FLORIDA,surfing,M,9.0,N,United States,March,2014.0,2010.0,Spring
2014-03-01,new caledonia,BAIE DE SAINTE-MARIE,surfing,M,42.0,N,New Caledonia,March,2014.0,2010.0,Unknown
2014-03-01,australia,VICTORIA,surfing,M,42.0,N,Australia,March,2014.0,2010.0,Autumn
