Date,Country,State,Activity,Sex,Age,Deceased,Month,Year
2021-03-01,french polynesia,MARQUESAS,swimming,M,10.0,N,March,2021.0
2021-03-01,usa,FLORIDA,Unspecific,F,16.0,N,March,2021.0
2021-03-01,usa,FLORIDA,swimming,M,7.0,N,March,2021.0
2021-03-01,usa,FLORIDA,surfing,M,9.0,N,March,2021.0
2021-03-01,australia,WESTERN AUSTRALIA,kayaking,M,75.0,N,March,2021.0
2021-03-01,usa,FLORIDA,wading,M,20.0,N,March,2021.0
2021-03-01,new caledonia,LOYALTY ISLANDS,fishing,M,16.0,N,March,2021.0
2021-02-01,new caledonia,,swimming,M,57.0,Y,February,2021.0
2021-02-01,australia,QUEENSLAND,fishing,M,,N,February,2021.0
2021-02-01,usa,HAWAII,surfing,M,,N,February,2021.0
2021-02-01,australia,SOUTH AUSTRALIA,surfing,M,17.0,N,February,2021.0
2021-02-01,usa,MAUI,kayaking,M,,N,February,2021.0
2021-01-01,australia,WESTERN AUSTRALIA,swimming,F,46.0,N,January,2021.0
2021-01-01,new zealand,NORTH ISLAND,swimming,M,61.0,N,January,2021.0
2021-01-01,australia,NEW SOUTH WALES,swimming,M,58.0,N,January,2021.0
2021-01-01,usa,FLORIDA,fishing,Unknown,,N,January,2021.0
2021-01-01,usa,HAWAII,diving,M,73.0,N,January,2021.0
2021-01-01,australia,SOUTH AUSTRALIA,diving,M,32.0,Y,January,2021.0
2021-01-01,brazil,PERNAMBUCO,surfing,M,52.0,N,January,2021.0
2021-01-01,australia,WESTERN AUSTRALIA,swimming,M,54.0,N,January,2021.0
2021-01-01,australia,VICTORIA,swimming,M,7.0,N,January,2021.0
2021-01-01,st kitts / nevis,THE NARROWS,swimming,F,26.0,N,January,2021.0
2021-01-01,new zealand,NORTH ISLAND,swimming,F,19.0,Y,January,2021.0
2021-01-01,usa,FLORIDA,surfing,M,19.0,N,January,2021.0
2021-01-01,usa,FLORIDA,surfing,M,17.0,N,January,2021.0
2021-01-01,usa,HAWAII,swimming,F,68.0,N,January,2021.0
2020-12-01,usa,CALIFORNIA,swimming,M,,N,December,2020.0
2020-12-01,maldives,RAA ATOLL,fishing,M,40.0,N,December,2020.0
2020-12-01,st martin,,swimming,F,39.0,Y,December,2020.0
2020-12-01,australia,WESTERN AUSTRALIA,surfing,M,,N,December,2020.0
2020-12-01,usa,HAWAII,surfing,M,56.0,Y,December,2020.0
2020-12-01,usa,OREGON,surfing,M,20.0,N,December,2020.0
2020-12-01,australia,SOUTH AUSTRALIA,surfing,M,29.0,N,December,2020.0
2020-12-01,egypt,SOUTH SINAI,diving,F,42.0,N,December,2020.0
2020-11-01,usa,HAWAII,diving,F,35.0,N,November,2020.0
2020-11-01,new caledonia,SOUTH PROVINCE,diving,F,,N,November,2020.0
2020-11-01,australia,WESTERN AUSTRALIA,boarding,M,59.0,Y,November,2020.0
2020-11-01,australia,NEW SOUTH WALES,surfing,M,13.0,N,November,2020.0
2020-10-01,usa,FLORIDA,swimming,M,17.0,N,October,2020.0
2020-10-01,bahamas,GRAND BAHAMA ISLAND,fishing,M,,N,October,2020.0
2020-10-01,usa,"FRANKLIN COUNTY, FLORIDA",surfing,M,,N,October,2020.0
2020-10-01,egypt,SOUTH SINAI,diving,Unknown,,N,October,2020.0
2020-10-01,australia,QUEENSLAND,fishing,M,59.0,N,October,2020.0
2020-10-01,usa,NORTH CAROLINA,surfing,M,,N,October,2020.0
2020-10-01,australia,WESTERN AUSTRALIA,surfing,M,52.0,Y,October,2020.0
2020-10-01,usa,FLORIDA,surfing,M,31.0,N,October,2020.0
2020-10-01,australia,WESTERN AUSTRALIA,surfing,M,17.0,N,October,2020.0
2020-09-01,usa,FLORIDA,Unspecific,M,,N,September,2020.0
2020-09-01,usa,HAWAII,swimming,F,61.0,N,September,2020.0
2020-09-01,usa,FLORIDA,diving,M,30.0,N,September,2020.0
2020-09-01,australia,QUEENSLAND,fishing,M,,N,September,2020.0
2020-09-01,australia,NEW SOUTH WALES,boarding,M,,N,September,2020.0
2020-09-01,usa,FLORIDA,swimming,M,48.0,N,September,2020.0
2020-09-01,usa,FLORIDA,surfing,M,15.0,N,September,2020.0
2020-09-01,usa,FLORIDA,surfing,M,25.0,N,September,2020.0
2020-09-01,usa,FLORIDA,surfing,M,54.0,N,September,2020.0
2020-09-01,australia,QUEENSLAND,surfing,M,46.0,Y,September,2020.0
2020-09-01,usa,HAWAII,diving,F,70.0,N,September,2020.0
2020-08-01,australia,NEW SOUTH WALES,fishing,Unknown,,N,August,2020.0
2020-08-01,usa,SOUTH CAROLINA,surfing,M,12.0,N,August,2020.0
2020-08-01,usa,CALIFORNIA,fishing,M,,N,August,2020.0
2020-08-01,usa,FLORIDA,Unspecific,M,23.0,N,August,2020.0
2020-08-01,usa,FLORIDA,surfing,M,14.0,N,August,2020.0
2020-08-01,usa,FLORIDA,boarding,F,50.0,N,August,2020.0
2020-08-01,usa,SOUTH CAROLINA,wading,F,,N,August,2020.0
2020-08-01,australia,NEW SOUTH WALES,surfing,F,35.0,N,August,2020.0
2020-08-01,usa,FLORIDA,fishing,M,55.0,N,August,2020.0
2020-08-01,usa,VIRGIN ISLANDS,diving,F,,N,August,2020.0
2020-08-01,usa,NORTH CAROLINA,surfing,M,54.0,N,August,2020.0
2020-07-01,usa,FLORIDA,surfing,F,22.0,N,July,2020.0
2020-07-01,usa,ALABAMA,swimming,M,14.0,N,July,2020.0
2020-07-01,australia,WESTERN AUSTRALIA,surfing,M,28.0,N,July,2020.0
2020-07-01,usa,FLORIDA,diving,M,38.0,N,July,2020.0
2020-07-01,australia,TASMANIA,Unspecific,Unknown,,UNKNOWN,July,2020.0
2020-07-01,french polynesia,TUAMOTU ISLANDS,swimming,M,4.0,N,July,2020.0
2020-07-01,usa,MAINE,swimming,F,63.0,Y,July,2020.0
2020-07-01,usa,BAHAMAS,fishing,M,23.0,N,July,2020.0
2020-07-01,usa,FLORIDA,Unspecific,M,11.0,N,July,2020.0
2020-07-01,usa,NORTH CAROLINA,Unspecific,M,,N,July,2020.0
2020-07-01,usa,FLORIDA,wading,F,12.0,N,July,2020.0
2020-07-01,australia,TASMANIA,fishing,M,10.0,N,July,2020.0
2020-07-01,usa,FLORIDA,wading,F,14.0,N,July,2020.0
2020-07-01,australia,QUEENSLAND,diving,F,29.0,N,July,2020.0
2020-07-01,australia,NEW SOUTH WALES,surfing,M,15.0,Y,July,2020.0
,usa,FLORIDA,surfing,F,15.0,N,,
2020-07-01,australia,QUEENSLAND,fishing,M,36.0,Y,July,2020.0
2020-06-01,usa,FLORIDA,Unspecific,M,7.0,N,June,2020.0
2020-06-01,usa,NORTH CAROLINA,surfing,M,16.0,N,June,2020.0
2020-06-01,south africa,KWAZULU-NATAL,surfing,F,,N,June,2020.0
2020-06-01,new caledonia,SOUTH PROVINCE,surfing,M,30.0,Y,June,2020.0
2020-06-01,australia,NEW SOUTH WALES,surfing,M,60.0,Y,June,2020.0
2020-06-01,usa,DELAWARE,boarding,M,12.0,N,June,2020.0
2020-06-01,usa,HAWAII,surfing,M,,N,June,2020.0
2020-05-01,bahamas,ABACO ISLANDS,fishing,M,,N,May,2020.0
2020-05-01,australia,QUEENSLAND,fishing,M,18.0,N,May,2020.0
2020-05-01,thailand,"MUANG DISTRICT OF SATUN PROVINCE,",Unspecific,M,12.0,N,May,2020.0
2020-05-01,spain,CANARY ISLANDS,Unspecific,M,9.0,N,May,2020.0
2020-05-01,usa,CALIFORNIA,surfing,M,26.0,Y,May,2020.0
2020-05-01,australia,VICTORIA,surfing,M,,N,May,2020.0
2020-05-01,usa,CALIFORNIA,swimming,F,57.0,N,May,2020.0
